date,volume_t-19,volume_t-2,volume_t-18,volume_t-15,volume_t-3,volume
2014-05-15,1185867,2591684,1475541,1580495,1465527,5740663
2014-05-16,1475541,5740663,894232,3009046,2591684,2405753
2014-05-19,894232,2405753,1806441,3359741,5740663,2742131
2014-05-20,1806441,2742131,1580495,1678627,2405753,1840126
2014-05-21,1580495,1840126,3009046,1472407,2742131,1102300
2014-05-22,3009046,1102300,3359741,2080946,1840126,1686139
2014-05-23,3359741,1686139,1678627,2087256,1102300,3510829
2014-05-27,1678627,3510829,1472407,2224227,1686139,1190619
2014-05-28,1472407,1190619,2080946,2219204,3510829,1807185
2014-05-29,2080946,1807185,2087256,2209139,1190619,1558720
2014-05-30,2087256,1558720,2224227,1287905,1807185,2547039
2014-06-02,2224227,2547039,2219204,2042132,1558720,1274846
2014-06-03,2219204,1274846,2209139,1465527,2547039,1842298
2014-06-04,2209139,1842298,1287905,2591684,1274846,1145664
2014-06-05,1287905,1145664,2042132,5740663,1842298,1833063
2014-06-06,2042132,1833063,1465527,2405753,1145664,1285879
2014-06-09,1465527,1285879,2591684,2742131,1833063,1188782
2014-06-10,2591684,1188782,5740663,1840126,1285879,1267805
2014-06-11,5740663,1267805,2405753,1102300,1188782,1410610
2014-06-12,2405753,1410610,2742131,1686139,1267805,1677989
2014-06-13,2742131,1677989,1840126,3510829,1410610,1054865
2014-06-16,1840126,1054865,1102300,1190619,1677989,1174434
2014-06-17,1102300,1174434,1686139,1807185,1054865,1328510
2014-06-18,1686139,1328510,3510829,1558720,1174434,1114749
2014-06-19,3510829,1114749,1190619,2547039,1328510,3149546
2014-06-20,1190619,3149546,1807185,1274846,1114749,2029378
2014-06-23,1807185,2029378,1558720,1842298,3149546,1435625
2014-06-24,1558720,1435625,2547039,1145664,2029378,1125825
2014-06-25,2547039,1125825,1274846,1833063,1435625,1060501
2014-06-26,1274846,1060501,1842298,1285879,1125825,1102367
2014-06-27,1842298,1102367,1145664,1188782,1060501,1519046
2014-06-30,1145664,1519046,1833063,1267805,1102367,1314906
2014-07-01,1833063,1314906,1285879,1410610,1519046,2010785
2014-07-02,1285879,2010785,1188782,1677989,1314906,1414957
2014-07-03,1188782,1414957,1267805,1054865,2010785,600744
2014-07-07,1267805,600744,1410610,1174434,1414957,949243
2014-07-08,1410610,949243,1677989,1328510,600744,1615912
2014-07-09,1677989,1615912,1054865,1114749,949243,1278504
2014-07-10,1054865,1278504,1174434,3149546,1615912,1189340
2014-07-11,1174434,1189340,1328510,2029378,1278504,1183288
2014-07-14,1328510,1183288,1114749,1435625,1189340,1487761
2014-07-15,1114749,1487761,3149546,1125825,1183288,2094496
2014-07-16,3149546,2094496,2029378,1060501,1487761,1868521
2014-07-17,2029378,1868521,1435625,1102367,2094496,4404085
2014-07-18,1435625,4404085,1125825,1519046,1868521,1706174
2014-07-21,1125825,1706174,1060501,1314906,4404085,1983914
2014-07-22,1060501,1983914,1102367,2010785,1706174,2411722
2014-07-23,1102367,2411722,1519046,1414957,1983914,1453645
2014-07-24,1519046,1453645,1314906,600744,2411722,2534358
2014-07-25,1314906,2534358,2010785,949243,1453645,1719615
2014-07-28,2010785,1719615,1414957,1615912,2534358,1510223
2014-07-29,1414957,1510223,600744,1278504,1719615,2003109
2014-07-30,600744,2003109,949243,1189340,1510223,1371335
2014-07-31,949243,1371335,1615912,1183288,2003109,2708121
2014-08-01,1615912,2708121,1278504,1487761,1371335,957560
2014-08-04,1278504,957560,1189340,2094496,2708121,957560
2014-08-05,1189340,957560,1183288,1868521,957560,1733728
2014-08-06,1183288,1733728,1487761,4404085,957560,1568834
2014-08-07,1487761,1568834,2094496,1706174,1733728,1628472
2014-08-08,2094496,1628472,1868521,1983914,1568834,1766002
2014-08-11,1868521,1766002,4404085,2411722,1628472,1252725
2014-08-12,4404085,1252725,1706174,1453645,1766002,2642075
2014-08-13,1706174,2642075,1983914,2534358,1252725,1721261
2014-08-14,1983914,1721261,2411722,1719615,2642075,3478558
2014-08-15,2411722,3478558,1453645,1510223,1721261,5578794
2014-08-18,1453645,5578794,2534358,2003109,3478558,2761606
2014-08-19,2534358,2761606,1719615,1371335,5578794,1192963
2014-08-20,1719615,1192963,1510223,2708121,2761606,1846569
2014-08-21,1510223,1846569,2003109,957560,1192963,1228385
2014-08-22,2003109,1228385,1371335,957560,1846569,1439567
2014-08-25,1371335,1439567,2708121,1733728,1228385,967137
2014-08-26,2708121,967137,957560,1568834,1439567,888727
2014-08-27,957560,888727,957560,1628472,967137,1193004
2014-08-28,957560,1193004,1733728,1766002,888727,1395449
2014-08-29,1733728,1395449,1568834,1252725,1193004,1979934
2014-09-02,1568834,1979934,1628472,2642075,1395449,2015566
2014-09-03,1628472,2015566,1766002,1721261,1979934,1478032
2014-09-04,1766002,1478032,1252725,3478558,2015566,790594
2014-09-05,1252725,790594,2642075,5578794,1478032,908184
2014-09-08,2642075,908184,1721261,2761606,790594,1345766
2014-09-09,1721261,1345766,3478558,1192963,908184,1286053
2014-09-10,3478558,1286053,5578794,1846569,1345766,1477856
2014-09-11,5578794,1477856,2761606,1228385,1286053,995855
2014-09-12,2761606,995855,1192963,1439567,1477856,2590395
2014-09-15,1192963,2590395,1846569,967137,995855,1621086
2014-09-16,1846569,1621086,1228385,888727,2590395,1379832
2014-09-17,1228385,1379832,1439567,1193004,1621086,2710468
2014-09-18,1439567,2710468,967137,1395449,1379832,2867046
2014-09-19,967137,2867046,888727,1979934,2710468,2173992
2014-09-22,888727,2173992,1193004,2015566,2867046,1686631
2014-09-23,1193004,1686631,1395449,1478032,2173992,1632282
2014-09-24,1395449,1632282,1979934,790594,1686631,1650529
2014-09-25,1979934,1650529,2015566,908184,1632282,1629584
2014-09-26,2015566,1629584,1478032,1345766,1650529,2218441
2014-09-29,1478032,2218441,790594,1286053,1629584,1626565
2014-09-30,790594,1626565,908184,1477856,2218441,2120557
