date,volume_t-20,volume_t-19,volume_t-18,volume_t-17,volume_t-16,volume_t-15,volume_t-14,volume_t-13,volume_t-12,volume_t-11,volume_t-10,volume_t-9,volume_t-8,volume_t-7,volume_t-6,volume_t-5,volume_t-4,volume_t-3,volume_t-2,volume_t-1,volume
2013-07-10,2730633,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,3277684
2013-07-11,2594941,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,2131803
2013-07-12,1677669,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,1978819
2013-07-15,2000122,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2433181
2013-07-16,2522376,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,2026749
2013-07-17,5805826,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1196543
2013-07-18,6307980,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1999719
2013-07-19,3656145,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1179308
2013-07-22,2871453,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,1836733
2013-07-23,2939595,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,2934199
2013-07-24,3693707,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1831121
2013-07-25,3447018,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,1420233
2013-07-26,5556673,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,3694988
2013-07-29,4283821,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,1962142
2013-07-30,2986405,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2791858
2013-07-31,1940832,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2807402
2013-08-01,2100873,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2745041
2013-08-02,2572391,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,2387817
2013-08-05,3476214,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,1875418
2013-08-06,3277684,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,2280909
2013-08-07,2131803,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702122
2013-08-08,1978819,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1702407
2013-08-09,2433181,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1958449
2013-08-12,2026749,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,1247241
2013-08-13,1196543,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,2078213
2013-08-14,1999719,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,1989871
2013-08-15,1179308,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,6708341
2013-08-16,1836733,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,3624694
