date,volume_t-19,volume_t-20,volume_t-16,volume_t-18,volume_t-17,volume
2013-10-16,10692052,18146408,2865074,2716907,2185721,2450818
2013-10-17,2716907,10692052,2680307,2185721,2865074,3548418
2013-10-18,2185721,2716907,2110103,2865074,2680307,2880870
2013-10-21,2865074,2185721,2650001,2680307,2110103,2556379
2013-10-22,2680307,2865074,2997047,2110103,2650001,4280543
2013-10-23,2110103,2680307,2020794,2650001,2997047,2348591
2013-10-24,2650001,2110103,1878510,2997047,2020794,1785894
2013-10-25,2997047,2650001,1867889,2020794,1878510,2398266
2013-10-28,2020794,2997047,1382107,1878510,1867889,1778672
2013-10-29,1878510,2020794,2415258,1867889,1382107,1193955
2013-10-30,1867889,1878510,2430595,1382107,2415258,1360046
2013-10-31,1382107,1867889,2426300,2415258,2430595,1895510
2013-11-01,2415258,1382107,1500903,2430595,2426300,1931035
2013-11-04,2430595,2415258,2110504,2426300,1500903,1409928
2013-11-05,2426300,2430595,1961896,1500903,2110504,1578131
2013-11-06,1500903,2426300,2450818,2110504,1961896,1432940
2013-11-07,2110504,1500903,3548418,1961896,2450818,3548823
2013-11-08,1961896,2110504,2880870,2450818,3548418,1860654
2013-11-11,2450818,1961896,2556379,3548418,2880870,1984482
2013-11-12,3548418,2450818,4280543,2880870,2556379,2357218
2013-11-13,2880870,3548418,2348591,2556379,4280543,2110086
2013-11-14,2556379,2880870,1785894,4280543,2348591,2825818
2013-11-15,4280543,2556379,2398266,2348591,1785894,11014343
2013-11-18,2348591,4280543,1778672,1785894,2398266,4131521
2013-11-19,1785894,2348591,1193955,2398266,1778672,2473023
2013-11-20,2398266,1785894,1360046,1778672,1193955,2321500
2013-11-21,1778672,2398266,1895510,1193955,1360046,2417644
2013-11-22,1193955,1778672,1931035,1360046,1895510,1910762
2013-11-25,1360046,1193955,1409928,1895510,1931035,1750170
2013-11-26,1895510,1360046,1578131,1931035,1409928,3196344
2013-11-27,1931035,1895510,1432940,1409928,1578131,1189764
2013-11-29,1409928,1931035,3548823,1578131,1432940,870409
2013-12-02,1578131,1409928,1860654,1432940,3548823,1459197
2013-12-03,1432940,1578131,1984482,3548823,1860654,2478051
2013-12-04,3548823,1432940,2357218,1860654,1984482,2415795
2013-12-05,1860654,3548823,2110086,1984482,2357218,1810391
2013-12-06,1984482,1860654,2825818,2357218,2110086,3053347
2013-12-09,2357218,1984482,11014343,2110086,2825818,2118503
2013-12-10,2110086,2357218,4131521,2825818,11014343,2326895
2013-12-11,2825818,2110086,2473023,11014343,4131521,2349926
2013-12-12,11014343,2825818,2321500,4131521,2473023,2714297
2013-12-13,4131521,11014343,2417644,2473023,2321500,2022610
2013-12-16,2473023,4131521,1910762,2321500,2417644,1685454
2013-12-17,2321500,2473023,1750170,2417644,1910762,3209227
2013-12-18,2417644,2321500,3196344,1910762,1750170,4136283
2013-12-19,1910762,2417644,1189764,1750170,3196344,1893211
2013-12-20,1750170,1910762,870409,3196344,1189764,2954031
2013-12-23,3196344,1750170,1459197,1189764,870409,1578464
2013-12-24,1189764,3196344,2478051,870409,1459197,779696
2013-12-26,870409,1189764,2415795,1459197,2478051,714431
2013-12-27,1459197,870409,1810391,2478051,2415795,653055
2013-12-30,2478051,1459197,3053347,2415795,1810391,1127980
2013-12-31,2415795,2478051,2118503,1810391,3053347,941447
2014-01-02,1810391,2415795,2326895,3053347,2118503,1916160
2014-01-03,3053347,1810391,2349926,2118503,2326895,1866651
2014-01-06,2118503,3053347,2714297,2326895,2349926,1777472
2014-01-07,2326895,2118503,2022610,2349926,2714297,1463208
2014-01-08,2349926,2326895,1685454,2714297,2022610,2659468
2014-01-09,2714297,2349926,3209227,2022610,1685454,1757647
2014-01-10,2022610,2714297,4136283,1685454,3209227,1623330
