date,volume_t-1,volume_t-5,volume_t-18,volume_t-17,volume_t-15,volume
2013-11-27,1189764,2417644,1409928,1578131,3548823,1189764
2013-11-29,870409,1910762,1578131,1432940,1860654,870409
2013-12-02,1459197,1750170,1432940,3548823,1984482,1459197
2013-12-03,2478051,3196344,3548823,1860654,2357218,2478051
2013-12-04,2415795,1189764,1860654,1984482,2110086,2415795
2013-12-05,1810391,870409,1984482,2357218,2825818,1810391
2013-12-06,3053347,1459197,2357218,2110086,11014343,3053347
2013-12-09,2118503,2478051,2110086,2825818,4131521,2118503
2013-12-10,2326895,2415795,2825818,11014343,2473023,2326895
2013-12-11,2349926,1810391,11014343,4131521,2321500,2349926
2013-12-12,2714297,3053347,4131521,2473023,2417644,2714297
2013-12-13,2022610,2118503,2473023,2321500,1910762,2022610
2013-12-16,1685454,2326895,2321500,2417644,1750170,1685454
2013-12-17,3209227,2349926,2417644,1910762,3196344,3209227
2013-12-18,4136283,2714297,1910762,1750170,1189764,4136283
2013-12-19,1893211,2022610,1750170,3196344,870409,1893211
2013-12-20,2954031,1685454,3196344,1189764,1459197,2954031
2013-12-23,1578464,3209227,1189764,870409,2478051,1578464
2013-12-24,779696,4136283,870409,1459197,2415795,779696
2013-12-26,714431,1893211,1459197,2478051,1810391,714431
2013-12-27,653055,2954031,2478051,2415795,3053347,653055
2013-12-30,1127980,1578464,2415795,1810391,2118503,1127980
2013-12-31,941447,779696,1810391,3053347,2326895,941447
2014-01-02,1916160,714431,3053347,2118503,2349926,1916160
2014-01-03,1866651,653055,2118503,2326895,2714297,1866651
2014-01-06,1777472,1127980,2326895,2349926,2022610,1777472
2014-01-07,1463208,941447,2349926,2714297,1685454,1463208
2014-01-08,2659468,1916160,2714297,2022610,3209227,2659468
2014-01-09,1757647,1866651,2022610,1685454,4136283,1757647
2014-01-10,1623330,1777472,1685454,3209227,1893211,1623330
2014-01-13,2946738,1463208,3209227,4136283,2954031,2946738
2014-01-14,2562236,2659468,4136283,1893211,1578464,2562236
2014-01-15,2335194,1757647,1893211,2954031,779696,2335194
2014-01-16,1835957,1623330,2954031,1578464,714431,1835957
2014-01-17,1699534,2946738,1578464,779696,653055,1699534
2014-01-21,3008458,2562236,779696,714431,1127980,3008458
2014-01-22,2769350,2335194,714431,653055,941447,2769350
2014-01-23,3063559,1835957,653055,1127980,1916160,3063559
2014-01-24,2656341,1699534,1127980,941447,1866651,2656341
2014-01-27,4669012,3008458,941447,1916160,1777472,4669012
2014-01-28,2536290,2769350,1916160,1866651,1463208,2536290
2014-01-29,2163031,3063559,1866651,1777472,2659468,2163031
2014-01-30,3743153,2656341,1777472,1463208,1757647,3743153
2014-01-31,3529054,4669012,1463208,2659468,1623330,3529054
2014-02-03,2929252,2536290,2659468,1757647,2946738,2929252
2014-02-04,2911877,2163031,1757647,1623330,2562236,2911877
2014-02-05,2283870,3743153,1623330,2946738,2335194,2283870
2014-02-06,1609451,3529054,2946738,2562236,1835957,1609451
2014-02-07,1975290,2929252,2562236,2335194,1699534,1975290
2014-02-10,1760468,2911877,2335194,1835957,3008458,1760468
2014-02-11,2148202,2283870,1835957,1699534,2769350,2148202
2014-02-12,2347270,1609451,1699534,3008458,3063559,2347270
2014-02-13,3097011,1975290,3008458,2769350,2656341,3097011
2014-02-14,17862776,1760468,2769350,3063559,4669012,17862776
2014-02-18,6553839,2148202,3063559,2656341,2536290,6553839
2014-02-19,4838795,2347270,2656341,4669012,2163031,4838795
2014-02-20,4629755,3097011,4669012,2536290,3743153,4629755
2014-02-21,2407171,17862776,2536290,2163031,3529054,2407171
2014-02-24,2392783,6553839,2163031,3743153,2929252,2392783
2014-02-25,3375173,4838795,3743153,3529054,2911877,3375173
2014-02-26,2400946,4629755,3529054,2929252,2283870,2400946
2014-02-27,3123781,2407171,2929252,2911877,1609451,3123781
2014-02-28,2876261,2392783,2911877,2283870,1975290,2876261
2014-03-03,2488373,3375173,2283870,1609451,1760468,2488373
2014-03-04,2841919,2400946,1609451,1975290,2148202,2841919
2014-03-05,3113546,3123781,1975290,1760468,2347270,3113546
2014-03-06,5178833,2876261,1760468,2148202,3097011,5178833
2014-03-07,3247154,2488373,2148202,2347270,17862776,3247154
2014-03-10,2563418,2841919,2347270,3097011,6553839,2563418
2014-03-11,3421731,3113546,3097011,17862776,4838795,3421731
2014-03-12,1652324,5178833,17862776,6553839,4629755,1652324
2014-03-13,2318832,3247154,6553839,4838795,2407171,2318832
2014-03-14,1745218,2563418,4838795,4629755,2392783,1745218
2014-03-17,1437471,3421731,4629755,2407171,3375173,1437471
2014-03-18,1294681,1652324,2407171,2392783,2400946,1294681
2014-03-19,1804350,2318832,2392783,3375173,3123781,1804350
2014-03-20,1808447,1745218,3375173,2400946,2876261,1808447
2014-03-21,2762931,1437471,2400946,3123781,2488373,2762931
2014-03-24,1985703,1294681,3123781,2876261,2841919,1985703
2014-03-25,1727269,1804350,2876261,2488373,3113546,1727269
2014-03-26,2560731,1808447,2488373,2841919,5178833,2560731
2014-03-27,2972614,2762931,2841919,3113546,3247154,2972614
2014-03-28,2006941,1985703,3113546,5178833,2563418,2006941
2014-03-31,2190772,1727269,5178833,3247154,3421731,2190772
2014-04-01,2090720,2560731,3247154,2563418,1652324,2090720
2014-04-02,1919493,2972614,2563418,3421731,2318832,1919493
2014-04-03,1603010,2006941,3421731,1652324,1745218,1603010
2014-04-04,2307668,2190772,1652324,2318832,1437471,2307668
2014-04-07,2584538,2090720,2318832,1745218,1294681,2584538
2014-04-08,1842491,1919493,1745218,1437471,1804350,1842491
2014-04-09,2017519,1603010,1437471,1294681,1808447,2017519
2014-04-10,1966409,2307668,1294681,1804350,2762931,1966409
2014-04-11,2591968,2584538,1804350,1808447,1985703,2591968
2014-04-14,2840577,1842491,1808447,2762931,1727269,2840577
2014-04-15,2172515,2017519,2762931,1985703,2560731,2172515
2014-04-16,1243513,1966409,1985703,1727269,2972614,1243513
2014-04-17,2061997,2591968,1727269,2560731,2006941,2061997
2014-04-21,1185867,2840577,2560731,2972614,2190772,1185867
2014-04-22,1475541,2172515,2972614,2006941,2090720,1475541
2014-04-23,894232,1243513,2006941,2190772,1919493,894232
2014-04-24,1806441,2061997,2190772,2090720,1603010,1806441
2014-04-25,1580495,1185867,2090720,1919493,2307668,1580495
2014-04-28,3009046,1475541,1919493,1603010,2584538,3009046
2014-04-29,3359741,894232,1603010,2307668,1842491,3359741
2014-04-30,1678627,1806441,2307668,2584538,2017519,1678627
2014-05-01,1472407,1580495,2584538,1842491,1966409,1472407
2014-05-02,2080946,3009046,1842491,2017519,2591968,2080946
2014-05-05,2087256,3359741,2017519,1966409,2840577,2087256
2014-05-06,2224227,1678627,1966409,2591968,2172515,2224227
2014-05-07,2219204,1472407,2591968,2840577,1243513,2219204
2014-05-08,2209139,2080946,2840577,2172515,2061997,2209139
2014-05-09,1287905,2087256,2172515,1243513,1185867,1287905
2014-05-12,2042132,2224227,1243513,2061997,1475541,2042132
2014-05-13,1465527,2219204,2061997,1185867,894232,1465527
2014-05-14,2591684,2209139,1185867,1475541,1806441,2591684
