date,volume_t-16,volume_t-19,volume_t-7,volume_t-10,volume_t-18,volume
2013-11-20,1360046,2398266,2357218,3548823,1778672,2321500
2013-11-21,1895510,1778672,2110086,1860654,1193955,2417644
2013-11-22,1931035,1193955,2825818,1984482,1360046,1910762
2013-11-25,1409928,1360046,11014343,2357218,1895510,1750170
2013-11-26,1578131,1895510,4131521,2110086,1931035,3196344
2013-11-27,1432940,1931035,2473023,2825818,1409928,1189764
2013-11-29,3548823,1409928,2321500,11014343,1578131,870409
2013-12-02,1860654,1578131,2417644,4131521,1432940,1459197
2013-12-03,1984482,1432940,1910762,2473023,3548823,2478051
2013-12-04,2357218,3548823,1750170,2321500,1860654,2415795
2013-12-05,2110086,1860654,3196344,2417644,1984482,1810391
2013-12-06,2825818,1984482,1189764,1910762,2357218,3053347
2013-12-09,11014343,2357218,870409,1750170,2110086,2118503
2013-12-10,4131521,2110086,1459197,3196344,2825818,2326895
2013-12-11,2473023,2825818,2478051,1189764,11014343,2349926
2013-12-12,2321500,11014343,2415795,870409,4131521,2714297
2013-12-13,2417644,4131521,1810391,1459197,2473023,2022610
2013-12-16,1910762,2473023,3053347,2478051,2321500,1685454
2013-12-17,1750170,2321500,2118503,2415795,2417644,3209227
2013-12-18,3196344,2417644,2326895,1810391,1910762,4136283
2013-12-19,1189764,1910762,2349926,3053347,1750170,1893211
2013-12-20,870409,1750170,2714297,2118503,3196344,2954031
2013-12-23,1459197,3196344,2022610,2326895,1189764,1578464
2013-12-24,2478051,1189764,1685454,2349926,870409,779696
2013-12-26,2415795,870409,3209227,2714297,1459197,714431
2013-12-27,1810391,1459197,4136283,2022610,2478051,653055
2013-12-30,3053347,2478051,1893211,1685454,2415795,1127980
2013-12-31,2118503,2415795,2954031,3209227,1810391,941447
2014-01-02,2326895,1810391,1578464,4136283,3053347,1916160
2014-01-03,2349926,3053347,779696,1893211,2118503,1866651
2014-01-06,2714297,2118503,714431,2954031,2326895,1777472
2014-01-07,2022610,2326895,653055,1578464,2349926,1463208
2014-01-08,1685454,2349926,1127980,779696,2714297,2659468
2014-01-09,3209227,2714297,941447,714431,2022610,1757647
2014-01-10,4136283,2022610,1916160,653055,1685454,1623330
2014-01-13,1893211,1685454,1866651,1127980,3209227,2946738
2014-01-14,2954031,3209227,1777472,941447,4136283,2562236
2014-01-15,1578464,4136283,1463208,1916160,1893211,2335194
2014-01-16,779696,1893211,2659468,1866651,2954031,1835957
2014-01-17,714431,2954031,1757647,1777472,1578464,1699534
2014-01-21,653055,1578464,1623330,1463208,779696,3008458
2014-01-22,1127980,779696,2946738,2659468,714431,2769350
2014-01-23,941447,714431,2562236,1757647,653055,3063559
2014-01-24,1916160,653055,2335194,1623330,1127980,2656341
2014-01-27,1866651,1127980,1835957,2946738,941447,4669012
2014-01-28,1777472,941447,1699534,2562236,1916160,2536290
2014-01-29,1463208,1916160,3008458,2335194,1866651,2163031
2014-01-30,2659468,1866651,2769350,1835957,1777472,3743153
2014-01-31,1757647,1777472,3063559,1699534,1463208,3529054
2014-02-03,1623330,1463208,2656341,3008458,2659468,2929252
2014-02-04,2946738,2659468,4669012,2769350,1757647,2911877
2014-02-05,2562236,1757647,2536290,3063559,1623330,2283870
2014-02-06,2335194,1623330,2163031,2656341,2946738,1609451
2014-02-07,1835957,2946738,3743153,4669012,2562236,1975290
2014-02-10,1699534,2562236,3529054,2536290,2335194,1760468
2014-02-11,3008458,2335194,2929252,2163031,1835957,2148202
2014-02-12,2769350,1835957,2911877,3743153,1699534,2347270
2014-02-13,3063559,1699534,2283870,3529054,3008458,3097011
2014-02-14,2656341,3008458,1609451,2929252,2769350,17862776
2014-02-18,4669012,2769350,1975290,2911877,3063559,6553839
2014-02-19,2536290,3063559,1760468,2283870,2656341,4838795
2014-02-20,2163031,2656341,2148202,1609451,4669012,4629755
2014-02-21,3743153,4669012,2347270,1975290,2536290,2407171
2014-02-24,3529054,2536290,3097011,1760468,2163031,2392783
2014-02-25,2929252,2163031,17862776,2148202,3743153,3375173
2014-02-26,2911877,3743153,6553839,2347270,3529054,2400946
2014-02-27,2283870,3529054,4838795,3097011,2929252,3123781
2014-02-28,1609451,2929252,4629755,17862776,2911877,2876261
