date,volume_t-4,volume_t-3,low_t-2,volume_t-2,low_t-1,volume
2014-03-26,2762931,1985703,54.98,1727269,55.16,2560731
2014-03-27,1985703,1727269,55.16,2560731,54.22,2972614
2014-03-28,1727269,2560731,54.22,2972614,54.42,2006941
2014-03-31,2560731,2972614,54.42,2006941,54.57,2190772
2014-04-01,2972614,2006941,54.57,2190772,55.835,2090720
2014-04-02,2006941,2190772,55.835,2090720,56.2,1919493
2014-04-03,2190772,2090720,56.2,1919493,56.27,1603010
2014-04-04,2090720,1919493,56.27,1603010,55.55,2307668
2014-04-07,1919493,1603010,55.55,2307668,53.94,2584538
2014-04-08,1603010,2307668,53.94,2584538,53.82,1842491
2014-04-09,2307668,2584538,53.82,1842491,54.375,2017519
2014-04-10,2584538,1842491,54.375,2017519,53.9,1966409
2014-04-11,1842491,2017519,53.9,1966409,52.65,2591968
2014-04-14,2017519,1966409,52.65,2591968,52.3075,2840577
2014-04-15,1966409,2591968,52.3075,2840577,51.96,2172515
2014-04-16,2591968,2840577,51.96,2172515,53.25,1243513
2014-04-17,2840577,2172515,53.25,1243513,53.61,2061997
2014-04-21,2172515,1243513,53.61,2061997,54.33,1185867
2014-04-22,1243513,2061997,54.33,1185867,54.53,1475541
2014-04-23,2061997,1185867,54.53,1475541,54.571,894232
2014-04-24,1185867,1475541,54.571,894232,54.56,1806441
2014-04-25,1475541,894232,54.56,1806441,54.07,1580495
2014-04-28,894232,1806441,54.07,1580495,52.86,3009046
2014-04-29,1806441,1580495,52.86,3009046,51.97,3359741
2014-04-30,1580495,3009046,51.97,3359741,53.02,1678627
2014-05-01,3009046,3359741,53.02,1678627,53.66,1472407
2014-05-02,3359741,1678627,53.66,1472407,54.09,2080946
2014-05-05,1678627,1472407,54.09,2080946,53.888,2087256
2014-05-06,1472407,2080946,53.888,2087256,54.46,2224227
2014-05-07,2080946,2087256,54.46,2224227,54.27,2219204
2014-05-08,2087256,2224227,54.27,2219204,54.69,2209139
2014-05-09,2224227,2219204,54.69,2209139,54.81,1287905
2014-05-12,2219204,2209139,54.81,1287905,55.47,2042132
2014-05-13,2209139,1287905,55.47,2042132,56.4,1465527
2014-05-14,1287905,2042132,56.4,1465527,55.7,2591684
2014-05-15,2042132,1465527,55.7,2591684,53.75,5740663
2014-05-16,1465527,2591684,53.75,5740663,53.92,2405753
2014-05-19,2591684,5740663,53.92,2405753,54.7,2742131
2014-05-20,5740663,2405753,54.7,2742131,54.209,1840126
2014-05-21,2405753,2742131,54.209,1840126,54.44,1102300
2014-05-22,2742131,1840126,54.44,1102300,54.89,1686139
2014-05-23,1840126,1102300,54.89,1686139,55.175,3510829
2014-05-27,1102300,1686139,55.175,3510829,56.03,1190619
2014-05-28,1686139,3510829,56.03,1190619,56.31,1807185
2014-05-29,3510829,1190619,56.31,1807185,56.64,1558720
2014-05-30,1190619,1807185,56.64,1558720,56.24,2547039
2014-06-02,1807185,1558720,56.24,2547039,56.3,1274846
2014-06-03,1558720,2547039,56.3,1274846,56.68,1842298
2014-06-04,2547039,1274846,56.68,1842298,56.96,1145664
2014-06-05,1274846,1842298,56.96,1145664,57.41,1833063
2014-06-06,1842298,1145664,57.41,1833063,58.37,1285879
2014-06-09,1145664,1833063,58.37,1285879,58.7,1188782
2014-06-10,1833063,1285879,58.7,1188782,58.58,1267805
2014-06-11,1285879,1188782,58.58,1267805,58.31,1410610
2014-06-12,1188782,1267805,58.31,1410610,58.2,1677989
2014-06-13,1267805,1410610,58.2,1677989,58.18,1054865
2014-06-16,1410610,1677989,58.18,1054865,58.15,1174434
2014-06-17,1677989,1054865,58.15,1174434,58.1901,1328510
2014-06-18,1054865,1174434,58.1901,1328510,58.53,1114749
2014-06-19,1174434,1328510,58.53,1114749,58.15,3149546
2014-06-20,1328510,1114749,58.15,3149546,57.84,2029378
2014-06-23,1114749,3149546,57.84,2029378,57.97,1435625
2014-06-24,3149546,2029378,57.97,1435625,57.58,1125825
2014-06-25,2029378,1435625,57.58,1125825,57.41,1060501
2014-06-26,1435625,1125825,57.41,1060501,57.4,1102367
2014-06-27,1125825,1060501,57.4,1102367,57.175,1519046
2014-06-30,1060501,1102367,57.175,1519046,57.18,1314906
2014-07-01,1102367,1519046,57.18,1314906,57.38,2010785
2014-07-02,1519046,1314906,57.38,2010785,57.78,1414957
2014-07-03,1314906,2010785,57.78,1414957,58.021,600744
2014-07-07,2010785,1414957,58.021,600744,57.85,949243
2014-07-08,1414957,600744,57.85,949243,56.92,1615912
2014-07-09,600744,949243,56.92,1615912,56.52,1278504
2014-07-10,949243,1615912,56.52,1278504,56.01,1189340
2014-07-11,1615912,1278504,56.01,1189340,56.15,1183288
2014-07-14,1278504,1189340,56.15,1183288,56.6175,1487761
2014-07-15,1189340,1183288,56.6175,1487761,56.15,2094496
2014-07-16,1183288,1487761,56.15,2094496,56.83,1868521
2014-07-17,1487761,2094496,56.83,1868521,55.135,4404085
2014-07-18,2094496,1868521,55.135,4404085,55.29,1706174
2014-07-21,1868521,4404085,55.29,1706174,55.79,1983914
2014-07-22,4404085,1706174,55.79,1983914,56.95,2411722
2014-07-23,1706174,1983914,56.95,2411722,57.445,1453645
2014-07-24,1983914,2411722,57.445,1453645,56.71,2534358
2014-07-25,2411722,1453645,56.71,2534358,56.35,1719615
2014-07-28,1453645,2534358,56.35,1719615,55.89,1510223
2014-07-29,2534358,1719615,55.89,1510223,55.875,2003109
2014-07-30,1719615,1510223,55.875,2003109,56.02,1371335
2014-07-31,1510223,2003109,56.02,1371335,55.83,2708121
2014-08-01,2003109,1371335,55.83,2708121,55.59,957560
2014-08-04,1371335,2708121,55.59,957560,55.59,957560
2014-08-05,2708121,957560,55.59,957560,55.1,1733728
2014-08-06,957560,957560,55.1,1733728,54.9,1568834
2014-08-07,957560,1733728,54.9,1568834,54.98,1628472
2014-08-08,1733728,1568834,54.98,1628472,54.86,1766002
2014-08-11,1568834,1628472,54.86,1766002,55.06,1252725
2014-08-12,1628472,1766002,55.06,1252725,54.3,2642075
2014-08-13,1766002,1252725,54.3,2642075,54.189,1721261
2014-08-14,1252725,2642075,54.189,1721261,54.45,3478558
2014-08-15,2642075,1721261,54.45,3478558,57.35,5578794
2014-08-18,1721261,3478558,57.35,5578794,57.35,2761606
2014-08-19,3478558,5578794,57.35,2761606,58.16,1192963
2014-08-20,5578794,2761606,58.16,1192963,57.94,1846569
2014-08-21,2761606,1192963,57.94,1846569,57.97,1228385
2014-08-22,1192963,1846569,57.97,1228385,57.48,1439567
2014-08-25,1846569,1228385,57.48,1439567,57.58,967137
2014-08-26,1228385,1439567,57.58,967137,57.5377,888727
2014-08-27,1439567,967137,57.5377,888727,57.29,1193004
2014-08-28,967137,888727,57.29,1193004,56.98,1395449
2014-08-29,888727,1193004,56.98,1395449,57.08,1979934
2014-09-02,1193004,1395449,57.08,1979934,57.23,2015566
2014-09-03,1395449,1979934,57.23,2015566,57.88,1478032
2014-09-04,1979934,2015566,57.88,1478032,57.6,790594
2014-09-05,2015566,1478032,57.6,790594,57.3,908184
2014-09-08,1478032,790594,57.3,908184,57.495,1345766
2014-09-09,790594,908184,57.495,1345766,57.45,1286053
2014-09-10,908184,1345766,57.45,1286053,57.175,1477856
2014-09-11,1345766,1286053,57.175,1477856,57.41,995855
2014-09-12,1286053,1477856,57.41,995855,57.61,2590395
2014-09-15,1477856,995855,57.61,2590395,57.74,1621086
2014-09-16,995855,2590395,57.74,1621086,57.37,1379832
2014-09-17,2590395,1621086,57.37,1379832,57.92,2710468
2014-09-18,1621086,1379832,57.92,2710468,58.31,2867046
2014-09-19,1379832,2710468,58.31,2867046,58.1,2173992
2014-09-22,2710468,2867046,58.1,2173992,57.27,1686631
2014-09-23,2867046,2173992,57.27,1686631,56.91,1632282
2014-09-24,2173992,1686631,56.91,1632282,56.78,1650529
2014-09-25,1686631,1632282,56.78,1650529,56.89,1629584
2014-09-26,1632282,1650529,56.89,1629584,56.07,2218441
2014-09-29,1650529,1629584,56.07,2218441,55.92,1626565
2014-09-30,1629584,2218441,55.92,1626565,56.82,2120557
2014-10-01,2218441,1626565,56.82,2120557,56.18,2481276
2014-10-02,1626565,2120557,56.18,2481276,55.29,1708052
2014-10-03,2120557,2481276,55.29,1708052,56.16,1577280
2014-10-06,2481276,1708052,56.16,1577280,56.43,1157370
2014-10-07,1708052,1577280,56.43,1157370,55.0,1515558
2014-10-08,1577280,1157370,55.0,1515558,54.8,2124682
2014-10-09,1157370,1515558,54.8,2124682,55.03,2526263
2014-10-10,1515558,2124682,55.03,2526263,53.42,5133638
2014-10-13,2124682,2526263,53.42,5133638,52.73,2527277
2014-10-14,2526263,5133638,52.73,2527277,51.77,3972861
2014-10-15,5133638,2527277,51.77,3972861,49.8,4723905
2014-10-16,2527277,3972861,49.8,4723905,50.55,5362096
2014-10-17,3972861,4723905,50.55,5362096,52.02,3810818
2014-10-20,4723905,5362096,52.02,3810818,50.86,4942206
2014-10-21,5362096,3810818,50.86,4942206,52.86,2231876
2014-10-22,3810818,4942206,52.86,2231876,52.99,2161086
2014-10-23,4942206,2231876,52.99,2161086,53.59,1754719
2014-10-24,2231876,2161086,53.59,1754719,53.51,1508194
2014-10-27,2161086,1754719,53.51,1508194,53.6,1105293
2014-10-28,1754719,1508194,53.6,1105293,53.88,1714329
2014-10-29,1508194,1105293,53.88,1714329,54.13,1484268
2014-10-30,1105293,1714329,54.13,1484268,53.75,2504261
2014-10-31,1714329,1484268,53.75,2504261,54.85,2087828
2014-11-03,1484268,2504261,54.85,2087828,39.49,4559916
2014-11-04,2504261,2087828,39.49,4559916,39.84,5765189
2014-11-05,2087828,4559916,39.84,5765189,39.98,2341387
2014-11-06,4559916,5765189,39.98,2341387,40.26,2968264
2014-11-07,5765189,2341387,40.26,2968264,40.86,2458734
2014-11-10,2341387,2968264,40.86,2458734,40.88,2583931
2014-11-11,2968264,2458734,40.88,2583931,41.34,2163823
2014-11-12,2458734,2583931,41.34,2163823,41.02,2504261
2014-11-13,2583931,2163823,41.02,2504261,41.26,1805461
2014-11-14,2163823,2504261,41.26,1805461,41.29,1331282
2014-11-17,2504261,1805461,41.29,1331282,41.21,2697164
2014-11-18,1805461,1331282,41.21,2697164,40.05,5891377
2014-11-19,1331282,2697164,40.05,5891377,40.7,4012147
2014-11-20,2697164,5891377,40.7,4012147,40.56,2303826
2014-11-21,5891377,4012147,40.56,2303826,41.7,5306170
2014-11-24,4012147,2303826,41.7,5306170,41.99,2122424
2014-11-25,2303826,5306170,41.99,2122424,42.31,2713879
2014-11-26,5306170,2122424,42.31,2713879,42.53,1752695
2014-11-28,2122424,2713879,42.53,1752695,42.59,1091780
2014-12-01,2713879,1752695,42.59,1091780,41.58,4411159
2014-12-02,1752695,1091780,41.58,4411159,41.55,2014436
2014-12-03,1091780,4411159,41.55,2014436,41.82,2250275
2014-12-04,4411159,2014436,41.82,2250275,42.02,1346823
2014-12-05,2014436,2250275,42.02,1346823,42.08,1019549
2014-12-08,2250275,1346823,42.08,1019549,41.415,1425753
2014-12-09,1346823,1019549,41.415,1425753,40.98,1803210
2014-12-10,1019549,1425753,40.98,1803210,40.31,2654911
2014-12-11,1425753,1803210,40.31,2654911,40.49,1640864
2014-12-12,1803210,2654911,40.49,1640864,39.71,2335765
2014-12-15,2654911,1640864,39.71,2335765,38.65,4510349
2014-12-16,1640864,2335765,38.65,4510349,38.1,3849394
