date,volume_t-1,volume
2014-09-04,790594,790594
2014-09-05,908184,908184
2014-09-08,1345766,1345766
2014-09-09,1286053,1286053
2014-09-10,1477856,1477856
2014-09-11,995855,995855
2014-09-12,2590395,2590395
2014-09-15,1621086,1621086
2014-09-16,1379832,1379832
2014-09-17,2710468,2710468
2014-09-18,2867046,2867046
2014-09-19,2173992,2173992
2014-09-22,1686631,1686631
2014-09-23,1632282,1632282
2014-09-24,1650529,1650529
2014-09-25,1629584,1629584
2014-09-26,2218441,2218441
2014-09-29,1626565,1626565
2014-09-30,2120557,2120557
2014-10-01,2481276,2481276
2014-10-02,1708052,1708052
2014-10-03,1577280,1577280
2014-10-06,1157370,1157370
2014-10-07,1515558,1515558
2014-10-08,2124682,2124682
2014-10-09,2526263,2526263
2014-10-10,5133638,5133638
2014-10-13,2527277,2527277
2014-10-14,3972861,3972861
2014-10-15,4723905,4723905
2014-10-16,5362096,5362096
2014-10-17,3810818,3810818
2014-10-20,4942206,4942206
2014-10-21,2231876,2231876
2014-10-22,2161086,2161086
2014-10-23,1754719,1754719
2014-10-24,1508194,1508194
2014-10-27,1105293,1105293
2014-10-28,1714329,1714329
2014-10-29,1484268,1484268
2014-10-30,2504261,2504261
2014-10-31,2087828,2087828
2014-11-03,4559916,4559916
2014-11-04,5765189,5765189
2014-11-05,2341387,2341387
2014-11-06,2968264,2968264
2014-11-07,2458734,2458734
2014-11-10,2583931,2583931
2014-11-11,2163823,2163823
2014-11-12,2504261,2504261
2014-11-13,1805461,1805461
2014-11-14,1331282,1331282
2014-11-17,2697164,2697164
2014-11-18,5891377,5891377
2014-11-19,4012147,4012147
2014-11-20,2303826,2303826
2014-11-21,5306170,5306170
2014-11-24,2122424,2122424
2014-11-25,2713879,2713879
2014-11-26,1752695,1752695
2014-11-28,1091780,1091780
2014-12-01,4411159,4411159
2014-12-02,2014436,2014436
2014-12-03,2250275,2250275
2014-12-04,1346823,1346823
2014-12-05,1019549,1019549
2014-12-08,1425753,1425753
2014-12-09,1803210,1803210
2014-12-10,2654911,2654911
2014-12-11,1640864,1640864
2014-12-12,2335765,2335765
2014-12-15,4510349,4510349
2014-12-16,3849394,3849394
2014-12-17,3508188,3508188
2014-12-18,3104066,3104066
2014-12-19,3736336,3736336
2014-12-22,1590221,1590221
2014-12-23,1872341,1872341
2014-12-24,1426901,1426901
2014-12-26,588034,588034
2014-12-29,976423,976423
2014-12-30,1323452,1323452
2014-12-31,1423993,1423993
2015-01-02,1530798,1530798
2015-01-05,2042240,2042240
2015-01-06,2084562,2084562
2015-01-07,3359660,3359660
2015-01-08,2116341,2116341
2015-01-09,1644939,1644939
2015-01-12,2771191,2771191
2015-01-13,2013474,2013474
2015-01-14,5134006,5134006
2015-01-15,2630296,2630296
2015-01-16,3003980,3003980
2015-01-20,5033605,5033605
2015-01-21,2721609,2721609
2015-01-22,4856573,4856573
2015-01-23,1519250,1519250
2015-01-26,1511214,1511214
2015-01-27,1703508,1703508
