date,open_t-13,volume_t-12,high_t-11,volume_t-11,volume_t-1,volume
2013-10-24,51.18,2430595,51.2,2426300,1785894,1785894
2013-10-25,50.23,2426300,51.67,1500903,2398266,2398266
2013-10-28,50.29,1500903,51.43,2110504,1778672,1778672
2013-10-29,50.88,2110504,51.19,1961896,1193955,1193955
2013-10-30,51.2,1961896,51.99,2450818,1360046,1360046
2013-10-31,51.08,2450818,52.7,3548418,1895510,1895510
2013-11-01,51.22,3548418,53.24,2880870,1931035,1931035
2013-11-04,51.25,2880870,53.14,2556379,1409928,1409928
2013-11-05,52.93,2556379,52.2,4280543,1578131,1578131
2013-11-06,53.04,4280543,50.88,2348591,1432940,1432940
2013-11-07,52.1,2348591,51.22,1785894,3548823,3548823
2013-11-08,50.76,1785894,51.91,2398266,1860654,1860654
2013-11-11,50.67,2398266,51.98,1778672,1984482,1984482
2013-11-12,51.34,1778672,51.9,1193955,2357218,2357218
2013-11-13,51.79,1193955,51.82,1360046,2110086,2110086
2013-11-14,51.52,1360046,51.33,1895510,2825818,2825818
2013-11-15,51.76,1895510,51.58,1931035,11014343,11014343
2013-11-18,51.15,1931035,51.46,1409928,4131521,4131521
2013-11-19,50.92,1409928,51.36,1578131,2473023,2473023
2013-11-20,51.39,1578131,51.32,1432940,2321500,2321500
2013-11-21,51.18,1432940,51.195,3548823,2417644,2417644
2013-11-22,51.19,3548823,50.94,1860654,1910762,1910762
2013-11-25,51.08,1860654,51.41,1984482,1750170,1750170
2013-11-26,50.14,1984482,51.4,2357218,3196344,3196344
2013-11-27,50.63,2357218,51.3,2110086,1189764,1189764
2013-11-29,51.2,2110086,51.2,2825818,870409,870409
2013-12-02,50.89,2825818,55.74,11014343,1459197,1459197
2013-12-03,51.2,11014343,54.98,4131521,2478051,2478051
2013-12-04,54.03,4131521,54.19,2473023,2415795,2415795
2013-12-05,54.45,2473023,54.255,2321500,1810391,1810391
2013-12-06,53.67,2321500,54.55,2417644,3053347,3053347
2013-12-09,53.83,2417644,54.3399,1910762,2118503,2118503
2013-12-10,53.8,1910762,54.13,1750170,2326895,2326895
2013-12-11,54.1,1750170,53.93,3196344,2349926,2349926
2013-12-12,54.11,3196344,54.0,1189764,2714297,2714297
2013-12-13,53.26,1189764,53.97,870409,2022610,2022610
2013-12-16,53.78,870409,53.67,1459197,1685454,1685454
2013-12-17,53.85,1459197,53.17,2478051,3209227,3209227
2013-12-18,53.47,2478051,53.83,2415795,4136283,4136283
2013-12-19,52.92,2415795,53.8,1810391,1893211,1893211
2013-12-20,52.84,1810391,54.93,3053347,2954031,2954031
2013-12-23,53.35,3053347,55.43,2118503,1578464,1578464
2013-12-24,53.76,2118503,55.46,2326895,779696,779696
2013-12-26,54.8,2326895,55.69,2349926,714431,714431
2013-12-27,54.91,2349926,55.52,2714297,653055,653055
2013-12-30,55.35,2714297,55.9,2022610,1127980,1127980
2013-12-31,54.63,2022610,55.79,1685454,941447,941447
2014-01-02,55.36,1685454,57.29,3209227,1916160,1916160
2014-01-03,55.25,3209227,57.94,4136283,1866651,1866651
2014-01-06,55.96,4136283,57.83,1893211,1777472,1777472
2014-01-07,56.5,1893211,57.67,2954031,1463208,1463208
2014-01-08,57.57,2954031,57.655,1578464,2659468,2659468
2014-01-09,57.47,1578464,57.61,779696,1757647,1757647
2014-01-10,57.45,779696,57.71,714431,1623330,1623330
2014-01-13,57.5,714431,57.42,653055,2946738,2946738
2014-01-14,57.24,653055,57.46,1127980,2562236,2562236
2014-01-15,57.23,1127980,57.55,941447,2335194,2335194
2014-01-16,57.05,941447,57.1,1916160,1835957,1835957
2014-01-17,57.45,1916160,57.345,1866651,1699534,1699534
2014-01-21,57.1,1866651,57.7,1777472,3008458,3008458
2014-01-22,56.39,1777472,57.63,1463208,2769350,2769350
2014-01-23,57.4,1463208,58.54,2659468,3063559,3063559
2014-01-24,56.95,2659468,58.68,1757647,2656341,2656341
2014-01-27,57.33,1757647,59.01,1623330,4669012,4669012
2014-01-28,58.4,1623330,59.1,2946738,2536290,2536290
2014-01-29,58.51,2946738,59.95,2562236,2163031,2163031
2014-01-30,58.77,2562236,60.365,2335194,3743153,3743153
2014-01-31,59.16,2335194,60.5,1835957,3529054,3529054
2014-02-03,59.82,1835957,60.83,1699534,2929252,2929252
2014-02-04,60.24,1699534,60.88,3008458,2911877,2911877
2014-02-05,60.83,3008458,61.22,2769350,2283870,2283870
2014-02-06,60.69,2769350,60.51,3063559,1609451,1609451
2014-02-07,60.82,3063559,59.46,2656341,1975290,1975290
2014-02-10,60.48,2656341,58.37,4669012,1760468,1760468
2014-02-11,59.22,4669012,58.88,2536290,2148202,2148202
2014-02-12,57.9,2536290,58.2174,2163031,2347270,2347270
2014-02-13,58.5,2163031,60.11,3743153,3097011,3097011
2014-02-14,57.67,3743153,59.15,3529054,17862776,17862776
2014-02-18,58.42,3529054,58.48,2929252,6553839,6553839
2014-02-19,58.61,2929252,57.88,2911877,4838795,4838795
2014-02-20,58.15,2911877,57.7,2283870,4629755,4629755
2014-02-21,56.32,2283870,58.35,1609451,2407171,2407171
2014-02-24,57.58,1609451,59.465,1975290,2392783,2392783
2014-02-25,57.51,1975290,59.44,1760468,3375173,3375173
2014-02-26,58.46,1760468,60.0,2148202,2400946,2400946
2014-02-27,59.27,2148202,60.46,2347270,3123781,3123781
2014-02-28,59.0,2347270,60.38,3097011,2876261,2876261
2014-03-03,60.0,3097011,57.77,17862776,2488373,2488373
2014-03-04,59.45,17862776,56.04,6553839,2841919,2841919
2014-03-05,57.15,6553839,56.65,4838795,3113546,3113546
2014-03-06,55.38,4838795,57.535,4629755,5178833,5178833
2014-03-07,55.01,4629755,57.4,2407171,3247154,3247154
2014-03-10,56.14,2407171,56.98,2392783,2563418,2563418
2014-03-11,57.25,2392783,57.57,3375173,3421731,3421731
2014-03-12,56.45,3375173,57.62,2400946,1652324,1652324
2014-03-13,56.8,2400946,57.28,3123781,2318832,2318832
2014-03-14,56.98,3123781,57.11,2876261,1745218,1745218
2014-03-17,57.02,2876261,57.12,2488373,1437471,1437471
2014-03-18,56.45,2488373,58.0,2841919,1294681,1294681
2014-03-19,56.12,2841919,58.0,3113546,1804350,1804350
2014-03-20,57.22,3113546,59.32,5178833,1808447,1808447
2014-03-21,57.71,5178833,59.2,3247154,2762931,2762931
2014-03-24,58.39,3247154,58.34,2563418,1985703,1985703
2014-03-25,59.06,2563418,58.3,3421731,1727269,1727269
2014-03-26,58.29,3421731,57.08,1652324,2560731,2560731
2014-03-27,58.23,1652324,57.4,2318832,2972614,2972614
2014-03-28,56.52,2318832,55.98,1745218,2006941,2006941
2014-03-31,57.16,1745218,56.41,1437471,2190772,2190772
2014-04-01,55.61,1437471,56.81,1294681,2090720,2090720
2014-04-02,55.68,1294681,57.15,1804350,1919493,1919493
2014-04-03,55.97,1804350,56.93,1808447,1603010,1603010
2014-04-04,56.72,1808447,57.78,2762931,2307668,2307668
2014-04-07,56.54,2762931,56.23,1985703,2584538,2584538
2014-04-08,57.18,1985703,56.21,1727269,1842491,1842491
2014-04-09,56.08,1727269,55.99,2560731,2017519,2017519
2014-04-10,55.5,2560731,55.6,2972614,1966409,1966409
2014-04-11,55.4,2972614,55.25,2006941,2591968,2591968
2014-04-14,55.6,2006941,56.05,2190772,2840577,2840577
2014-04-15,54.85,2190772,56.62,2090720,2172515,2172515
2014-04-16,54.97,2090720,56.7,1919493,1243513,1243513
2014-04-17,56.2,1919493,57.14,1603010,2061997,2061997
2014-04-21,56.42,1603010,57.24,2307668,1185867,1185867
2014-04-22,56.77,2307668,55.66,2584538,1475541,1475541
2014-04-23,57.1,2584538,55.0,1842491,894232,894232
2014-04-24,55.56,1842491,55.61,2017519,1806441,1806441
2014-04-25,54.21,2017519,55.637,1966409,1580495,1580495
2014-04-28,55.44,1966409,54.05,2591968,3009046,3009046
2014-04-29,55.57,2591968,53.249,2840577,3359741,3359741
2014-04-30,53.69,2840577,53.36,2172515,1678627,1678627
2014-05-01,53.19,2172515,53.77,1243513,1472407,1472407
2014-05-02,52.84,1243513,54.89,2061997,2080946,2080946
2014-05-05,53.55,2061997,54.8,1185867,2087256,2087256
2014-05-06,53.74,1185867,55.6,1475541,2224227,2224227
2014-05-07,54.61,1475541,55.2,894232,2219204,2219204
2014-05-08,54.7,894232,55.52,1806441,2209139,2209139
2014-05-09,54.85,1806441,55.25,1580495,1287905,1287905
2014-05-12,55.23,1580495,54.93,3009046,2042132,2042132
2014-05-13,55.25,3009046,53.55,3359741,1465527,1465527
2014-05-14,54.85,3359741,54.07,1678627,2591684,2591684
2014-05-15,53.29,1678627,54.87,1472407,5740663,5740663
2014-05-16,53.43,1472407,54.99,2080946,2405753,2405753
2014-05-19,53.94,2080946,55.345,2087256,2742131,2742131
2014-05-20,54.5,2087256,55.45,2224227,1840126,1840126
2014-05-21,54.31,2224227,55.13,2219204,1102300,1102300
2014-05-22,55.08,2219204,56.14,2209139,1686139,1686139
2014-05-23,55.13,2209139,55.63,1287905,3510829,3510829
2014-05-27,55.03,1287905,56.62,2042132,1190619,1190619
2014-05-28,55.26,2042132,56.98,1465527,1807185,1807185
2014-05-29,55.58,1465527,56.79,2591684,1558720,1558720
2014-05-30,56.63,2591684,56.15,5740663,2547039,2547039
2014-06-02,56.78,5740663,55.13,2405753,1274846,1274846
2014-06-03,54.6,2405753,55.226,2742131,1842298,1842298
2014-06-04,54.39,2742131,54.96,1840126,1145664,1145664
2014-06-05,54.9,1840126,55.14,1102300,1833063,1833063
2014-06-06,54.87,1102300,55.71,1686139,1285879,1285879
2014-06-09,54.58,1686139,56.22,3510829,1188782,1188782
2014-06-10,55.0,3510829,56.5,1190619,1267805,1267805
2014-06-11,55.65,1190619,57.23,1807185,1410610,1410610
2014-06-12,56.31,1807185,57.38,1558720,1677989,1677989
2014-06-13,56.41,1558720,57.11,2547039,1054865,1054865
2014-06-16,57.18,2547039,56.99,1274846,1174434,1174434
2014-06-17,56.87,1274846,57.49,1842298,1328510,1328510
2014-06-18,56.96,1842298,57.48,1145664,1114749,1114749
2014-06-19,56.73,1145664,58.75,1833063,3149546,3149546
2014-06-20,57.02,1833063,59.28,1285879,2029378,2029378
2014-06-23,57.45,1285879,59.58,1188782,1435625,1435625
2014-06-24,58.58,1188782,59.25,1267805,1125825,1125825
2014-06-25,59.0,1267805,59.13,1410610,1060501,1060501
2014-06-26,59.16,1410610,59.0,1677989,1102367,1102367
2014-06-27,58.33,1677989,58.87,1054865,1519046,1519046
2014-06-30,58.9,1054865,58.86,1174434,1314906,1314906
2014-07-01,58.53,1174434,59.2,1328510,2010785,2010785
2014-07-02,58.57,1328510,59.32,1114749,1414957,1414957
2014-07-03,58.27,1114749,59.54,3149546,600744,600744
2014-07-07,58.86,3149546,59.055,2029378,949243,949243
2014-07-08,59.2,2029378,58.86,1435625,1615912,1615912
2014-07-09,57.84,1435625,58.49,1125825,1278504,1278504
2014-07-10,58.71,1125825,58.1,1060501,1189340,1189340
2014-07-11,58.03,1060501,58.06,1102367,1183288,1183288
2014-07-14,57.61,1102367,58.14,1519046,1487761,1487761
2014-07-15,57.99,1519046,57.76,1314906,2094496,2094496
2014-07-16,57.52,1314906,58.44,2010785,1868521,1868521
2014-07-17,57.5,2010785,58.59,1414957,4404085,4404085
2014-07-18,57.74,1414957,58.54,600744,1706174,1706174
2014-07-21,58.13,600744,58.25,949243,1983914,1983914
2014-07-22,58.19,949243,57.925,1615912,2411722,2411722
2014-07-23,58.2,1615912,57.08,1278504,1453645,1453645
2014-07-24,57.84,1278504,56.63,1189340,2534358,2534358
2014-07-25,57.05,1189340,56.74,1183288,1719615,1719615
2014-07-28,56.41,1183288,57.07,1487761,1510223,1510223
2014-07-29,56.33,1487761,56.88,2094496,2003109,2003109
