date,volume_t-1,low_t-18,volume_t-2,volume_t-4,volume_t-11,volume
2013-09-30,2650001,47.58,2110103,2865074,1861513,2650001
2013-10-01,2997047,47.13,2650001,2680307,1578387,2997047
2013-10-02,2020794,47.29,2997047,2110103,2044234,2020794
2013-10-03,1878510,48.04,2020794,2650001,18146408,1878510
2013-10-04,1867889,48.22,1878510,2997047,10692052,1867889
2013-10-07,1382107,48.49,1867889,2020794,2716907,1382107
2013-10-08,2415258,48.23,1382107,1878510,2185721,2415258
2013-10-09,2430595,48.58,2415258,1867889,2865074,2430595
2013-10-10,2426300,48.62,2430595,1382107,2680307,2426300
2013-10-11,1500903,48.29,2426300,2415258,2110103,1500903
2013-10-14,2110504,50.749,1500903,2430595,2650001,2110504
2013-10-15,1961896,50.98,2110504,2426300,2997047,1961896
2013-10-16,2450818,51.38,1961896,1500903,2020794,2450818
2013-10-17,3548418,51.2,2450818,2110504,1878510,3548418
2013-10-18,2880870,51.44,3548418,1961896,1867889,2880870
2013-10-21,2556379,51.46,2880870,2450818,1382107,2556379
2013-10-22,4280543,51.4,2556379,3548418,2415258,4280543
2013-10-23,2348591,50.75,4280543,2880870,2430595,2348591
2013-10-24,1785894,50.7,2348591,2556379,2426300,1785894
2013-10-25,2398266,51.15,1785894,4280543,1500903,2398266
2013-10-28,1778672,50.91,2398266,2348591,2110504,1778672
2013-10-29,1193955,51.07,1778672,1785894,1961896,1193955
2013-10-30,1360046,51.07,1193955,2398266,2450818,1360046
2013-10-31,1895510,49.89,1360046,1778672,3548418,1895510
2013-11-01,1931035,49.39,1895510,1193955,2880870,1931035
2013-11-04,1409928,50.29,1931035,1360046,2556379,1409928
2013-11-05,1578131,50.66,1409928,1895510,4280543,1578131
2013-11-06,1432940,50.51,1578131,1931035,2348591,1432940
2013-11-07,3548823,50.6,1432940,1409928,1785894,3548823
2013-11-08,1860654,50.94,3548823,1578131,2398266,1860654
2013-11-11,1984482,51.13,1860654,1432940,1778672,1984482
2013-11-12,2357218,52.63,1984482,3548823,1193955,2357218
2013-11-13,2110086,51.9,2357218,1860654,1360046,2110086
2013-11-14,2825818,50.84,2110086,1984482,1895510,2825818
2013-11-15,11014343,50.3,2825818,2357218,1931035,11014343
2013-11-18,4131521,50.67,11014343,2110086,1409928,4131521
2013-11-19,2473023,51.09,4131521,2825818,1578131,2473023
2013-11-20,2321500,51.12,2473023,11014343,1432940,2321500
2013-11-21,2417644,51.23,2321500,4131521,3548823,2417644
2013-11-22,1910762,50.86,2417644,2473023,1860654,1910762
2013-11-25,1750170,50.45,1910762,2321500,1984482,1750170
2013-11-26,3196344,50.84,1750170,2417644,2357218,3196344
2013-11-27,1189764,50.95,3196344,1910762,2110086,1189764
2013-11-29,870409,50.854,1189764,1750170,2825818,870409
2013-12-02,1459197,50.8,870409,3196344,11014343,1459197
2013-12-03,2478051,49.84,1459197,1189764,4131521,2478051
2013-12-04,2415795,50.01,2478051,870409,2473023,2415795
2013-12-05,1810391,50.518,2415795,1459197,2321500,1810391
2013-12-06,3053347,50.76,1810391,2478051,2417644,3053347
2013-12-09,2118503,50.66,3053347,2415795,1910762,2118503
2013-12-10,2326895,50.36,2118503,1810391,1750170,2326895
2013-12-11,2349926,53.6902,2326895,3053347,3196344,2349926
2013-12-12,2714297,53.67,2349926,2118503,1189764,2714297
2013-12-13,2022610,53.55,2714297,2326895,870409,2022610
2013-12-16,1685454,53.465,2022610,2349926,1459197,1685454
2013-12-17,3209227,53.7,1685454,2714297,2478051,3209227
2013-12-18,4136283,53.75,3209227,2022610,2415795,4136283
2013-12-19,1893211,53.02,4136283,1685454,1810391,1893211
2013-12-20,2954031,53.23,1893211,3209227,3053347,2954031
2013-12-23,1578464,53.64,2954031,4136283,2118503,1578464
2013-12-24,779696,53.46,1578464,1893211,2326895,779696
2013-12-26,714431,53.11,779696,2954031,2349926,714431
2013-12-27,653055,52.56,714431,1578464,2714297,653055
2013-12-30,1127980,52.72,653055,779696,2022610,1127980
2013-12-31,941447,53.115,1127980,714431,1685454,941447
2014-01-02,1916160,53.76,941447,653055,3209227,1916160
2014-01-03,1866651,54.74,1916160,1127980,4136283,1866651
2014-01-06,1777472,54.63,1866651,941447,1893211,1777472
2014-01-07,1463208,54.68,1777472,1916160,2954031,1463208
2014-01-08,2659468,54.3,1463208,1866651,1578464,2659468
2014-01-09,1757647,54.9,2659468,1777472,779696,1757647
2014-01-10,1623330,55.07,1757647,1463208,714431,1623330
2014-01-13,2946738,55.81,1623330,2659468,653055,2946738
2014-01-14,2562236,56.37,2946738,1757647,1127980,2562236
2014-01-15,2335194,57.07,2562236,1623330,941447,2335194
2014-01-16,1835957,56.91,2335194,2946738,1916160,1835957
2014-01-17,1699534,57.12,1835957,2562236,1866651,1699534
2014-01-21,3008458,57.17,1699534,2335194,1777472,3008458
2014-01-22,2769350,57.24,3008458,1835957,1463208,2769350
2014-01-23,3063559,57.12,2769350,1699534,2659468,3063559
2014-01-24,2656341,56.92,3063559,3008458,1757647,2656341
2014-01-27,4669012,57.08,2656341,2769350,1623330,4669012
2014-01-28,2536290,56.15,4669012,3063559,2946738,2536290
2014-01-29,2163031,56.26,2536290,2656341,2562236,2163031
2014-01-30,3743153,56.56,2163031,4669012,2335194,3743153
2014-01-31,3529054,56.93,3743153,2536290,1835957,3529054
2014-02-03,2929252,57.17,3529054,2163031,1699534,2929252
2014-02-04,2911877,57.87,2929252,3743153,3008458,2911877
2014-02-05,2283870,58.14,2911877,3529054,2769350,2283870
2014-02-06,1609451,58.6,2283870,2929252,3063559,1609451
2014-02-07,1975290,59.02,1609451,2911877,2656341,1975290
2014-02-10,1760468,59.585,1975290,2283870,4669012,1760468
2014-02-11,2148202,60.04,1760468,1609451,2536290,2148202
