date,volume_t-18,volume_t-19,volume
2014-05-19,1806441,894232,2742131
2014-05-20,1580495,1806441,1840126
2014-05-21,3009046,1580495,1102300
2014-05-22,3359741,3009046,1686139
2014-05-23,1678627,3359741,3510829
2014-05-27,1472407,1678627,1190619
2014-05-28,2080946,1472407,1807185
2014-05-29,2087256,2080946,1558720
2014-05-30,2224227,2087256,2547039
2014-06-02,2219204,2224227,1274846
2014-06-03,2209139,2219204,1842298
2014-06-04,1287905,2209139,1145664
2014-06-05,2042132,1287905,1833063
2014-06-06,1465527,2042132,1285879
2014-06-09,2591684,1465527,1188782
2014-06-10,5740663,2591684,1267805
2014-06-11,2405753,5740663,1410610
2014-06-12,2742131,2405753,1677989
2014-06-13,1840126,2742131,1054865
2014-06-16,1102300,1840126,1174434
2014-06-17,1686139,1102300,1328510
2014-06-18,3510829,1686139,1114749
2014-06-19,1190619,3510829,3149546
2014-06-20,1807185,1190619,2029378
2014-06-23,1558720,1807185,1435625
2014-06-24,2547039,1558720,1125825
2014-06-25,1274846,2547039,1060501
2014-06-26,1842298,1274846,1102367
2014-06-27,1145664,1842298,1519046
2014-06-30,1833063,1145664,1314906
2014-07-01,1285879,1833063,2010785
2014-07-02,1188782,1285879,1414957
2014-07-03,1267805,1188782,600744
2014-07-07,1410610,1267805,949243
2014-07-08,1677989,1410610,1615912
2014-07-09,1054865,1677989,1278504
2014-07-10,1174434,1054865,1189340
2014-07-11,1328510,1174434,1183288
2014-07-14,1114749,1328510,1487761
2014-07-15,3149546,1114749,2094496
2014-07-16,2029378,3149546,1868521
2014-07-17,1435625,2029378,4404085
2014-07-18,1125825,1435625,1706174
2014-07-21,1060501,1125825,1983914
2014-07-22,1102367,1060501,2411722
2014-07-23,1519046,1102367,1453645
2014-07-24,1314906,1519046,2534358
2014-07-25,2010785,1314906,1719615
2014-07-28,1414957,2010785,1510223
2014-07-29,600744,1414957,2003109
2014-07-30,949243,600744,1371335
2014-07-31,1615912,949243,2708121
2014-08-01,1278504,1615912,957560
2014-08-04,1189340,1278504,957560
2014-08-05,1183288,1189340,1733728
2014-08-06,1487761,1183288,1568834
2014-08-07,2094496,1487761,1628472
2014-08-08,1868521,2094496,1766002
2014-08-11,4404085,1868521,1252725
2014-08-12,1706174,4404085,2642075
2014-08-13,1983914,1706174,1721261
2014-08-14,2411722,1983914,3478558
2014-08-15,1453645,2411722,5578794
2014-08-18,2534358,1453645,2761606
2014-08-19,1719615,2534358,1192963
2014-08-20,1510223,1719615,1846569
2014-08-21,2003109,1510223,1228385
2014-08-22,1371335,2003109,1439567
2014-08-25,2708121,1371335,967137
2014-08-26,957560,2708121,888727
2014-08-27,957560,957560,1193004
2014-08-28,1733728,957560,1395449
2014-08-29,1568834,1733728,1979934
2014-09-02,1628472,1568834,2015566
2014-09-03,1766002,1628472,1478032
2014-09-04,1252725,1766002,790594
2014-09-05,2642075,1252725,908184
2014-09-08,1721261,2642075,1345766
2014-09-09,3478558,1721261,1286053
2014-09-10,5578794,3478558,1477856
2014-09-11,2761606,5578794,995855
2014-09-12,1192963,2761606,2590395
2014-09-15,1846569,1192963,1621086
2014-09-16,1228385,1846569,1379832
2014-09-17,1439567,1228385,2710468
2014-09-18,967137,1439567,2867046
2014-09-19,888727,967137,2173992
2014-09-22,1193004,888727,1686631
2014-09-23,1395449,1193004,1632282
2014-09-24,1979934,1395449,1650529
2014-09-25,2015566,1979934,1629584
